id,名称,カテゴリ,都道府県コード,都道府県名,市区町村コード,市区町村名,緯度,経度,情報,情報の出典,データソース
NEW05103,切目川ダム,ダム,30,和歌山県,,Unknown,33.8811111,135.3208333,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05104,島ノ瀬ダム,ダム,30,和歌山県,,Unknown,33.8436111,135.3736111,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05105,矢那川ダム,ダム,12,千葉県,,Unknown,35.3475,139.9863889,千葉県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05106,片倉ダム,ダム,12,千葉県,,Unknown,35.2022222,140.0736111,千葉県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05107,小匠ダム,ダム,30,和歌山県,,Unknown,33.5938889,135.8344444,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05108,七川ダム,ダム,30,和歌山県,,Unknown,33.5919444,135.6877778,和歌山県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05109,鮎の瀬取水堰,ダム,41,佐賀県,,Unknown,33.4216667,130.2208333,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05110,川上川第五取水堰,ダム,41,佐賀県,,Unknown,33.3441667,130.2480556,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05111,伊岐佐ダム,ダム,41,佐賀県,,Unknown,33.36765,130.0425472,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05112,平木場ダム,ダム,41,佐賀県,,Unknown,33.4320139,129.9454722,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05113,後川内ダム,ダム,41,佐賀県,,Unknown,33.4455556,129.9205556,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05114,打上ダム,ダム,41,佐賀県,,Unknown,33.5072222,129.9022222,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05115,赤坂ダム,ダム,41,佐賀県,,Unknown,33.4133333,129.8963889,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05116,上倉ダム,ダム,41,佐賀県,,Unknown,33.4230556,129.8522222,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05117,厳木ダム,ダム,41,佐賀県,,Unknown,33.3266667,130.1027778,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05118,玉島取水堰,ダム,41,佐賀県,,Unknown,33.4441667,130.1047222,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05119,天山ダム,ダム,41,佐賀県,,Unknown,33.3422222,130.1322222,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05120,厳木川調整池,ダム,41,佐賀県,,Unknown,33.3488889,130.1144444,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05121,河内ダム,ダム,41,佐賀県,,Unknown,33.4066667,130.4891667,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05122,岸川ダム,ダム,41,佐賀県,,Unknown,33.3168333,130.1251944,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05123,都川内ダム,ダム,41,佐賀県,,Unknown,33.2603639,129.9057139,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05124,井手口川ダム,ダム,41,佐賀県,,Unknown,33.2902778,129.9911111,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05125,本部ダム,ダム,41,佐賀県,,Unknown,33.2667694,130.0093972,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05126,矢筈ダム,ダム,41,佐賀県,,Unknown,33.1426278,129.9497,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05127,狩立・日ノ峯ダム,ダム,41,佐賀県,,Unknown,33.1817944,129.9294889,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05128,繁昌ダム,ダム,41,佐賀県,,Unknown,33.2264444,130.0129722,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05129,庭木ダム,ダム,41,佐賀県,,Unknown,33.1259722,129.9598333,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05130,中木庭ダム,ダム,41,佐賀県,,Unknown,33.0416583,130.0702611,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05131,日指ダム,ダム,41,佐賀県,,Unknown,33.4366667,131.3013889,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05132,岩屋川内ダム,ダム,41,佐賀県,,Unknown,33.0680861,129.9830778,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05133,横竹ダム,ダム,41,佐賀県,,Unknown,33.0596444,130.0382778,佐賀県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05134,永平寺ダム,ダム,18,福井県,,Unknown,36.0491667,136.3619444,福井県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05135,安波ダム,ダム,47,沖縄県,,Unknown,26.71,128.2697222,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05136,普久川ダム,ダム,47,沖縄県,,Unknown,26.7416667,128.2797222,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05137,辺野喜ダム,ダム,47,沖縄県,,Unknown,26.7869444,128.2569444,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05138,大保ダム,ダム,47,沖縄県,,Unknown,26.6533333,128.1461111,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05139,新川ダム,ダム,47,沖縄県,,Unknown,26.6763889,128.2472222,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05140,金武ダム,ダム,47,沖縄県,,Unknown,26.4677778,127.9338889,沖縄県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05141,木屋川ダム,ダム,35,山口県,,Unknown,34.2363889,131.1177778,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05142,厚東川ダム,ダム,35,山口県,,Unknown,34.0713889,131.2822222,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
NEW05143,今富ダム,ダム,35,山口県,,Unknown,34.0919444,131.2536111,山口県Unknownに所在するダム。型式:unknown 管理者:Unknown,カテゴリ由来の自動生成,国土交通省川の防災情報/ダムデータ
